address,rssi
Buffalo-24A0-WPA3,-93
30AAE4F2481A-5G,-93
Buffalo-A-67EE,-92
Buffalo-A-8D88,-91
aterm-fc6db3-a,-91
A0957FD34E29-5G,-90
aterm-4d5546-a,-89
PS4-068BA6B1B560,-89
Galaxy_5GMW_0145,-88
elecom-s-319ed8,-88
elecom-319ed85G,-88
AIT_8-605,-87
aterm-a188b6-g,-87
aterm-dc9140-g,-86
Buffalo-24A0,-86
Buffalo-24A0-WPA3,-86
elecom-s-319ed8,-85
IODATA-e15db8-2G,-84
aterm-888ad9-a,-84
aterm-7b9be3-a,-83
elecom-319ed8,-79
aterm-61c919-g,-76
Buffalo-G-67EE,-76
Buffalo-G-8D88,-75
aterm-7b9be3-g,-74
aterm-75d65d-a,-72
aterm-fc6db3-g,-71
aterm-0ed314-g,-68
aterm-75d65d-a,-59
aterm-b81467-g,-57
aterm-ab3547-g,-53
aterm-a8d743-a,-48
aterm-b81467-a,-66
aterm-a8d743-a,-57
aterm-ab3547-a,-52
