rssi,address
-81,2AB12151-2D29-CA67-CF5D-6D2461D39BA0
-90,9263BEED-D10A-ECB9-67C8-FE5B5350C51E
-94,AB5B7CEF-D359-46E9-C9AF-B40370FE8CE7
-88,4F5EF0B5-30F6-AC06-5506-B4AE499258B3
-92,A4860A82-B361-62DA-2813-46AB192D5A8D
-97,C917EF35-B51D-71F0-BE63-F56C1C11F3F1
-97,71B96B53-00E6-A2CD-0928-DBF25243336E
-58,4AD36828-31E5-92AD-37EF-5AADCE411BC4
-50,420A7254-8C8A-5DE0-F316-F8E8F076A5CB
-56,7D1D648C-8CED-928B-3483-B164419E75B2
-93,9450CFF1-21B6-6A00-8C03-99424E594EDF
-53,EE258F7E-891A-235C-29F5-F9E95CC88D30
-81,2AB12151-2D29-CA67-CF5D-6D2461D39BA0
-90,9263BEED-D10A-ECB9-67C8-FE5B5350C51E
-94,AB5B7CEF-D359-46E9-C9AF-B40370FE8CE7
-88,4F5EF0B5-30F6-AC06-5506-B4AE499258B3
-92,A4860A82-B361-62DA-2813-46AB192D5A8D
-97,C917EF35-B51D-71F0-BE63-F56C1C11F3F1
-97,71B96B53-00E6-A2CD-0928-DBF25243336E
-58,4AD36828-31E5-92AD-37EF-5AADCE411BC4
-50,420A7254-8C8A-5DE0-F316-F8E8F076A5CB
-56,7D1D648C-8CED-928B-3483-B164419E75B2
-93,9450CFF1-21B6-6A00-8C03-99424E594EDF
-53,EE258F7E-891A-235C-29F5-F9E95CC88D30
-81,2AB12151-2D29-CA67-CF5D-6D2461D39BA0
-90,9263BEED-D10A-ECB9-67C8-FE5B5350C51E
-94,AB5B7CEF-D359-46E9-C9AF-B40370FE8CE7
-88,4F5EF0B5-30F6-AC06-5506-B4AE499258B3
-92,A4860A82-B361-62DA-2813-46AB192D5A8D
-97,C917EF35-B51D-71F0-BE63-F56C1C11F3F1
-97,71B96B53-00E6-A2CD-0928-DBF25243336E
-58,4AD36828-31E5-92AD-37EF-5AADCE411BC4
-50,420A7254-8C8A-5DE0-F316-F8E8F076A5CB
-56,7D1D648C-8CED-928B-3483-B164419E75B2
-93,9450CFF1-21B6-6A00-8C03-99424E594EDF
-53,EE258F7E-891A-235C-29F5-F9E95CC88D30
-81,2AB12151-2D29-CA67-CF5D-6D2461D39BA0
-90,9263BEED-D10A-ECB9-67C8-FE5B5350C51E
-94,AB5B7CEF-D359-46E9-C9AF-B40370FE8CE7
-88,4F5EF0B5-30F6-AC06-5506-B4AE499258B3
-92,A4860A82-B361-62DA-2813-46AB192D5A8D
-97,C917EF35-B51D-71F0-BE63-F56C1C11F3F1
-97,71B96B53-00E6-A2CD-0928-DBF25243336E
-58,4AD36828-31E5-92AD-37EF-5AADCE411BC4
-50,420A7254-8C8A-5DE0-F316-F8E8F076A5CB
-56,7D1D648C-8CED-928B-3483-B164419E75B2
-93,9450CFF1-21B6-6A00-8C03-99424E594EDF
-53,EE258F7E-891A-235C-29F5-F9E95CC88D30
-81,2AB12151-2D29-CA67-CF5D-6D2461D39BA0
-90,9263BEED-D10A-ECB9-67C8-FE5B5350C51E
-94,AB5B7CEF-D359-46E9-C9AF-B40370FE8CE7
-88,4F5EF0B5-30F6-AC06-5506-B4AE499258B3
-92,A4860A82-B361-62DA-2813-46AB192D5A8D
-97,C917EF35-B51D-71F0-BE63-F56C1C11F3F1
-97,71B96B53-00E6-A2CD-0928-DBF25243336E
-58,4AD36828-31E5-92AD-37EF-5AADCE411BC4
-50,420A7254-8C8A-5DE0-F316-F8E8F076A5CB
-56,7D1D648C-8CED-928B-3483-B164419E75B2
-93,9450CFF1-21B6-6A00-8C03-99424E594EDF
-53,EE258F7E-891A-235C-29F5-F9E95CC88D30
-81,2AB12151-2D29-CA67-CF5D-6D2461D39BA0
-90,9263BEED-D10A-ECB9-67C8-FE5B5350C51E
-94,AB5B7CEF-D359-46E9-C9AF-B40370FE8CE7
-88,4F5EF0B5-30F6-AC06-5506-B4AE499258B3
-92,A4860A82-B361-62DA-2813-46AB192D5A8D
-97,C917EF35-B51D-71F0-BE63-F56C1C11F3F1
-97,71B96B53-00E6-A2CD-0928-DBF25243336E
-58,4AD36828-31E5-92AD-37EF-5AADCE411BC4
-50,420A7254-8C8A-5DE0-F316-F8E8F076A5CB
-56,7D1D648C-8CED-928B-3483-B164419E75B2
-93,9450CFF1-21B6-6A00-8C03-99424E594EDF
-53,EE258F7E-891A-235C-29F5-F9E95CC88D30
-81,2AB12151-2D29-CA67-CF5D-6D2461D39BA0
-90,9263BEED-D10A-ECB9-67C8-FE5B5350C51E
-94,AB5B7CEF-D359-46E9-C9AF-B40370FE8CE7
-88,4F5EF0B5-30F6-AC06-5506-B4AE499258B3
-92,A4860A82-B361-62DA-2813-46AB192D5A8D
-97,C917EF35-B51D-71F0-BE63-F56C1C11F3F1
-97,71B96B53-00E6-A2CD-0928-DBF25243336E
-58,4AD36828-31E5-92AD-37EF-5AADCE411BC4
-50,420A7254-8C8A-5DE0-F316-F8E8F076A5CB
-56,7D1D648C-8CED-928B-3483-B164419E75B2
-93,9450CFF1-21B6-6A00-8C03-99424E594EDF
-53,EE258F7E-891A-235C-29F5-F9E95CC88D30
-81,2AB12151-2D29-CA67-CF5D-6D2461D39BA0
-90,9263BEED-D10A-ECB9-67C8-FE5B5350C51E
-94,AB5B7CEF-D359-46E9-C9AF-B40370FE8CE7
-88,4F5EF0B5-30F6-AC06-5506-B4AE499258B3
-92,A4860A82-B361-62DA-2813-46AB192D5A8D
-97,C917EF35-B51D-71F0-BE63-F56C1C11F3F1
-97,71B96B53-00E6-A2CD-0928-DBF25243336E
-58,4AD36828-31E5-92AD-37EF-5AADCE411BC4
-50,420A7254-8C8A-5DE0-F316-F8E8F076A5CB
-56,7D1D648C-8CED-928B-3483-B164419E75B2
-93,9450CFF1-21B6-6A00-8C03-99424E594EDF
-53,EE258F7E-891A-235C-29F5-F9E95CC88D30
-81,2AB12151-2D29-CA67-CF5D-6D2461D39BA0
-90,9263BEED-D10A-ECB9-67C8-FE5B5350C51E
-94,AB5B7CEF-D359-46E9-C9AF-B40370FE8CE7
-88,4F5EF0B5-30F6-AC06-5506-B4AE499258B3
-92,A4860A82-B361-62DA-2813-46AB192D5A8D
-97,C917EF35-B51D-71F0-BE63-F56C1C11F3F1
-97,71B96B53-00E6-A2CD-0928-DBF25243336E
-58,4AD36828-31E5-92AD-37EF-5AADCE411BC4
