SSID,RSSI
Buffalo-A-7A28,-92
aterm-1d2fcf-a,-90
aterm-f6b548-a,-90
aterm-0de71f-a,-90
aterm-4f36dd-a,-88
30AAE4F2481A-5G,-88
Buffalo-A-8D88,-86
Buffalo-G-7A28,-85
aterm-a188b6-a,-85
aterm-d592e7-a,-84
elecom-s-319ed8,-82
elecom-319ed85G,-82
Buffalo-A-67EE,-82
PS4-068BA6B1B560,-81
aterm-0ed314-a,-80
5C6199C69A08-5G,-80
Buffalo-A-A6E8,-80
aterm-fc6db3-a,-79
aterm-a188b6-g,-78
Buffalo-G-A6E8,-78
aterm-d592e7-g,-77
5C6199C69A08-2G,-76
HP-Print-27-Deskjet 3520 series,-76
elecom-319ed8,-76
aterm-61c919-a,-76
001D73B7D6BE,-75
aterm-7b9be3-a,-75
elecom-s-319ed8,-75
A0957FD34E29-5G,-74
A0957FD34E29-2G,-74
aterm-e5dc44-g,-72
aterm-fc6db3-g,-69
Buffalo-G-8D88,-69
aterm-0ed314-g,-69
Buffalo-G-67EE,-67
aterm-b81467-g,-61
aterm-75d65d-a,-60
aterm-61c919-g,-54
aterm-ab3547-g,-52
aterm-a8d743-a,-41
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-45
aterm-a8d743-a,-38
