address,rssi
aterm-5a47f7-a,-92
aterm-f6b548-a,-90
aterm-0de71f-a,-89
KOUKI_Wi-Fi,-87
aterm-a6da59-a,-87
30AAE4F2481A-5G,-87
aterm-c700ad-a,-86
Buffalo-A-8D88,-86
BC8556DF4471,-85
aterm-d592e7-a,-85
aterm-a188b6-a,-84
elecom-s-319ed8,-83
elecom-319ed85G,-83
Buffalo-A-A6E8,-83
aterm-4d5546-a,-81
5C6199C69A08-5G,-81
PS4-068BA6B1B560,-80
Buffalo-A-67EE,-80
elecom-319ed8,-79
aterm-d592e7-g,-79
ZEUSWiFi_3TU4XQ9L,-79
aterm-0ed314-a,-79
aterm-fc6db3-a,-79
Buffalo-G-A6E8,-77
HP-Print-27-Deskjet 3520 series,-77
aterm-61c919-a,-77
001D73B7D6BE,-75
aterm-7b9be3-a,-75
aterm-e5dc44-g,-72
A0957FD34E29-5G,-71
Buffalo-G-67EE,-68
aterm-7b9be3-g,-67
Buffalo-G-8D88,-67
aterm-fc6db3-g,-67
A0957FD34E29-2G,-67
aterm-75d65d-a,-57
aterm-61c919-g,-54
aterm-ab3547-g,-51
aterm-a8d743-a,-41
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-44
aterm-a8d743-a,-38
