address,rssi
aterm-5a47f7-a,-91
elecom5g-7e9329,-90
aterm-1d2fcf-a,-90
aterm-f6b548-a,-90
aterm-4f36dd-a,-88
Buffalo-24A0,-88
30AAE4F2481A-5G,-88
aterm-0de71f-a,-88
BC8556DF4471,-86
elecom-s-319ed8,-86
elecom-319ed85G,-86
Buffalo-A-8D88,-86
Buffalo-G-7A28,-85
Buffalo-A-A6E8,-84
Buffalo-24A0,-83
aterm-b4694a-g,-82
cong chua^^,-82
aterm-a188b6-a,-82
5C6199C69A08-5G,-81
Buffalo-A-67EE,-81
5C6199B359B1-2G,-80
PS4-068BA6B1B560,-79
aterm-0ed314-a,-79
aterm-fc6db3-a,-79
aterm-8347ee-g,-78
elecom-s-319ed8,-78
elecom-319ed8,-77
A0957FD34E29-5G,-77
aterm-61c919-a,-77
HP-Print-27-Deskjet 3520 series,-76
5C6199C69A08-2G,-75
001D73B7D6BE,-74
A0957FD34E29-2G,-73
aterm-7b9be3-a,-73
aterm-7b9be3-g,-72
Buffalo-G-67EE,-71
aterm-fc6db3-g,-68
Buffalo-G-8D88,-68
aterm-0ed314-g,-64
aterm-b81467-g,-61
aterm-75d65d-a,-58
aterm-a8d743-a,-55
aterm-61c919-g,-54
aterm-ab3547-g,-50
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-45
aterm-a8d743-a,-37
