address,rssi
aterm-5a47f7-a,-91
aterm-1d2fcf-a,-90
Buffalo-24A0-WPA3,-90
aterm-4d5546-a,-90
aterm-f6b548-a,-90
aterm-d13295-a,-89
aterm-0de71f-a,-89
aterm-4f36dd-a,-88
30AAE4F2481A-5G,-87
Buffalo-A-8D88,-86
aterm-d592e7-a,-85
Buffalo-A-A6E8,-84
aterm-4d5546-a,-83
elecom-s-319ed8,-83
elecom-319ed85G,-83
Buffalo-24A0-WPA3,-82
aterm-0ed314-a,-80
5C6199C69A08-5G,-80
Buffalo-A-67EE,-80
ZERO(2.4GHz),-79
Buffalo-G-A6E8,-79
Buffalo-G-7A28,-79
PS4-068BA6B1B560,-79
aterm-fc6db3-a,-79
elecom2g-503c09,-77
30AAE4F2481A-2G,-76
A0957FD34E29-5G,-76
aterm-61c919-a,-76
aterm-7b9be3-a,-75
aterm-e5dc44-g,-72
elecom-319ed8,-72
aterm-8347ee-g,-72
elecom-s-319ed8,-72
A0957FD34E29-2G,-72
001D73B7D6BE,-72
HP-Print-27-Deskjet 3520 series,-70
Buffalo-G-67EE,-70
aterm-fc6db3-g,-69
Buffalo-G-8D88,-68
aterm-0ed314-g,-67
aterm-7b9be3-g,-67
aterm-b81467-g,-58
aterm-75d65d-a,-57
aterm-61c919-g,-54
aterm-ab3547-g,-51
aterm-a8d743-a,-40
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-44
aterm-a8d743-a,-38
