SSID,RSSI
aterm-f6b548-a,-90
aterm-0de71f-a,-89
Buffalo-24A0-WPA3,-88
30AAE4F2481A-5G,-88
483E5EB5F92F-2G,-87
IODATA-e15db8-2G,-86
Buffalo-A-8D88,-86
aterm-a188b6-a,-85
elecom-s-319ed8,-84
elecom-319ed85G,-84
Buffalo-A-67EE,-84
aterm-d592e7-a,-84
Buffalo-A-A6E8,-84
PS4-068BA6B1B560,-83
aterm-4d5546-a,-82
HP-Print-27-Deskjet 3520 series,-80
5C6199C69A08-5G,-80
5C6199B359B1-2G,-78
aterm-0ed314-a,-78
aterm-fc6db3-a,-78
Buffalo-24A0,-77
Buffalo-G-A6E8,-77
aterm-a188b6-g,-76
A0957FD34E29-2G,-76
A0957FD34E29-5G,-76
elecom-s-319ed8,-75
aterm-8347ee-g,-75
5C6199C69A08-2G,-74
aterm-7b9be3-a,-74
aterm-61c919-a,-74
001D73B7D6BE,-71
elecom-319ed8,-70
aterm-75d65d-a,-69
aterm-fc6db3-g,-69
Buffalo-G-67EE,-69
aterm-7b9be3-g,-64
aterm-b81467-g,-61
aterm-61c919-g,-54
aterm-0ed314-g,-50
aterm-ab3547-g,-50
aterm-75d65d-a,-68
aterm-a8d743-a,-38
aterm-b81467-a,-64
aterm-ab3547-a,-44
aterm-a8d743-a,-38
