address,rssi
6885A47A3A0F-5G,-92
Buffalo-A-7A28,-92
aterm-f6b548-a,-91
aterm-1d2fcf-a,-90
aterm-0de71f-a,-89
aterm-4f36dd-a,-88
30AAE4F2481A-5G,-88
Buffalo-A-8D88,-86
aterm-a188b6-a,-85
5C6199C69A08-5G,-84
aterm-d592e7-g,-84
aterm-0de71f-g,-84
Buffalo-A-A6E8,-84
elecom-s-319ed8,-83
elecom-319ed85G,-83
aterm-d592e7-a,-83
Buffalo-A-67EE,-82
5C6199B359B1-2G,-82
Buffalo-G-A6E8,-81
aterm-0ed314-a,-80
aterm-fc6db3-a,-78
aterm-e5dc44-g,-77
HP-Print-27-Deskjet 3520 series,-76
aterm-61c919-a,-76
A0957FD34E29-5G,-75
aterm-7b9be3-a,-74
A0957FD34E29-2G,-74
aterm-a188b6-g,-73
001D73B7D6BE,-73
elecom-319ed8,-73
Buffalo-G-8D88,-69
aterm-0ed314-g,-69
aterm-fc6db3-g,-68
elecom-s-319ed8,-66
Buffalo-G-67EE,-65
aterm-b81467-g,-61
aterm-75d65d-a,-55
aterm-61c919-g,-54
aterm-ab3547-g,-52
aterm-a8d743-a,-43
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-45
aterm-a8d743-a,-38
