address,rssi
aterm-5a47f7-a,-92
aterm-60c232-a,-91
aterm-4d5546-a,-90
aterm-f6b548-a,-90
aterm-0de71f-a,-89
30AAE4F2481A-5G,-87
Galaxy_5GMW_0145,-86
Buffalo-A-8D88,-86
elecom5g-c80711,-85
aterm-d592e7-a,-85
aterm-a188b6-a,-85
Buffalo-A-A6E8,-84
aterm-5a47f7-a,-83
elecom-s-319ed8,-83
elecom-319ed85G,-82
5C6199C69A08-5G,-81
Buffalo-A-67EE,-81
cong chua^^,-80
5C6199B359B1-2G,-80
PS4-068BA6B1B560,-80
A0957FD34E29-5G,-80
aterm-fc6db3-a,-79
aterm-0ed314-a,-78
elecom-s-319ed8,-77
aterm-a188b6-g,-76
5C6199C69A08-2G,-76
HP-Print-27-Deskjet 3520 series,-76
A0957FD34E29-2G,-76
aterm-61c919-a,-76
aterm-d592e7-g,-75
001D73B7D6BE,-75
aterm-7b9be3-a,-73
aterm-e5dc44-g,-71
aterm-7b9be3-g,-69
Buffalo-G-67EE,-69
Buffalo-G-8D88,-68
aterm-fc6db3-g,-67
aterm-0ed314-g,-67
aterm-b81467-g,-59
aterm-75d65d-a,-57
aterm-61c919-g,-54
aterm-ab3547-g,-48
aterm-a8d743-a,-41
aterm-75d65d-a,-68
aterm-b81467-a,-63
aterm-ab3547-a,-45
aterm-a8d743-a,-37
