SSID,RSSI
aterm-888ad9-a,-90
aterm-f6b548-a,-90
aterm-e5dc44-a,-89
aterm-0de71f-a,-89
rt500m-7d5a61-1,-88
483E5EB5F92F-2G,-87
30AAE4F2481A-5G,-87
IODATA-e15db8-2G,-86
Buffalo-A-8118,-86
aterm-a188b6-a,-85
Buffalo-A-8D88,-85
Buffalo-A-A6E8,-85
elecom-s-319ed8,-84
elecom-319ed85G,-84
aterm-d592e7-a,-84
PS4-068BA6B1B560,-83
aterm-4d5546-a,-82
5C6199C69A08-5G,-81
Buffalo-A-67EE,-81
Buffalo-G-7A28,-80
aterm-0ed314-a,-79
5C6199B359B1-2G,-78
aterm-fc6db3-a,-78
Buffalo-G-A6E8,-77
aterm-d592e7-g,-77
elecom-319ed8,-77
HP-Print-27-Deskjet 3520 series,-76
aterm-61c919-a,-76
aterm-8347ee-g,-75
A0957FD34E29-2G,-75
001D73B7D6BE,-75
A0957FD34E29-5G,-75
5C6199C69A08-2G,-74
elecom-s-319ed8,-74
aterm-7b9be3-a,-73
aterm-0ed314-g,-71
Buffalo-G-67EE,-69
aterm-fc6db3-g,-68
Buffalo-G-8D88,-68
aterm-b81467-g,-65
aterm-7b9be3-g,-62
aterm-61c919-g,-56
aterm-ab3547-g,-51
aterm-a8d743-a,-42
aterm-75d65d-a,-67
aterm-b81467-a,-63
aterm-ab3547-a,-45
aterm-a8d743-a,-39
