address,rssi
aterm-f6b548-a,-90
aterm-0de71f-a,-89
Buffalo-24A0-WPA3,-88
30AAE4F2481A-5G,-87
elecom-319ed85G,-87
elecom-s-319ed8,-86
aterm-a188b6-a,-85
Buffalo-A-8D88,-85
aterm-d592e7-a,-84
Buffalo-A-A6E8,-84
aterm-0de71f-g,-82
PS4-068BA6B1B560,-81
5C6199C69A08-5G,-81
Buffalo-A-67EE,-81
aterm-0ed314-a,-80
aterm-fc6db3-a,-79
30AAE4F2481A-2G,-78
Buffalo-24A0,-77
001D73B7D6BE,-77
aterm-a188b6-g,-76
aterm-61c919-a,-76
elecom-s-319ed8,-75
A0957FD34E29-5G,-75
aterm-7b9be3-a,-73
A0957FD34E29-2G,-72
HP-Print-27-Deskjet 3520 series,-70
Buffalo-G-67EE,-70
aterm-fc6db3-g,-69
elecom-319ed8,-69
Buffalo-G-8D88,-68
aterm-0ed314-g,-68
aterm-7b9be3-g,-64
aterm-b81467-g,-62
aterm-75d65d-a,-58
aterm-61c919-g,-55
aterm-ab3547-g,-49
aterm-a8d743-a,-40
aterm-75d65d-a,-68
aterm-b81467-a,-64
aterm-ab3547-a,-45
aterm-a8d743-a,-38
